ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B00U2DT3H6,"Pepsodent Expert Protection Gum Care+ Toothpaste, Reduces Gum Problems With Advanced Anti Bacterial Zinc Technology, Improves Gum Health, 140 g",Pepsodent,90.0,95.0,367,4.4,NA,NA,98.0,92.0,107.0,28.0,NA,1.0,Toothpastes,
B09DGBS1HV,"Colgate Total Whole Mouth Health, Antibacterial Toothpaste, 120gm + 120gm (Charcoal Deep Clean, Saver Pack)",Colgate,205.0,52.0,327,4.4,NA,NA,210.0,205.0,41.0,45.0,NA,1.0,Toothpastes,
B092K383WY,"Colgate Total Whole Mouth Health, Antibacterial Cavity Protection Toothpaste, 120gm + 120gm (Advanced Health, Saver Pack)",Colgate,230.0,13.0,869,4.5,NA,NA,230.0,230.0,13.0,84.0,Fulfilled,1.0,Toothpastes,
B00DRDYGHK,"Pepsodent Expert Protection Complete, Oral Care, 140 G",Pepsodent,,244.0,275,4.5,NA,NA,,,344.0,20.0,NA,1.0,Toothpastes,
B07CHSCH9C,Colgate Swarna Vedshakti Ayurvedic Gum CareToothpaste With Anti-Germ Properties For Whole Mouth Protection - 4 x 200gm,Colgate,315.0,20.0,6597,4.3,NA,NA,380.0,315.0,17.0,76.0,Fulfilled,1.0,Toothpastes,
B00DRDZPIO,"Colgate MaxFresh Bad Breath Treatment Toothpaste, Red Gel Paste with Menthol for Super Fresh Breath, 150g (Spicy Fresh)",Colgate,110.0,71.0,558,4.5,NA,NA,110.0,110.0,71.0,37.0,Fulfilled,1.0,Toothpastes,
B00DRDZP4I,Colgate Toothpaste Maxfresh Peppermint Ice - 80 g (Blue Gel),Colgate,61.0,49.0,1879,4.5,NA,NA,62.0,61.0,46.0,45.0,NA,1.0,Toothpastes,
B082LF3CPD,"Colgate Charcoal Clean Black Gel Toothpaste, Pack of 240g (120g X 2) Deep Clean Colgate Toothpaste With Bamboo Charcoal & Wintergreen Mint For Plaque Removal, Tingling Fresh Mouth Experience",Colgate,210.0,11.0,2686,4.3,NA,NA,250.0,210.0,9.0,65.0,Fulfilled,1.0,Toothpastes,
B0755FMSWZ,Colgate Swarna Vedshakti Ayurvedic Oral Care Toothpaste with anti-germ properties for whole mouth protection - 200gm,Colgate,114.0,87.0,1026,4.3,NA,NA,114.0,114.0,110.0,34.0,Fulfilled,1.0,Toothpastes,
B09QSBPKTF,"Colgate Visible White O2, Teeth Whitening Toothpaste, Aromatic Mint, 50g, Active Oxygen Technology, Enamel Safe Teeth Whitening Product",Colgate,210.0,45.0,867,3.8,NA,NA,250.0,,43.0,50.0,Fulfilled,1.0,Toothpastes,
B09QRTXCWD,"Colgate Visible White O2, Teeth Whitening Toothpaste, Peppermint Sparkle, 50g, Active Oxygen Technology, Enamel Safe Teeth Whitening Product",Colgate,188.0,7.0,985,3.7,NA,NA,250.0,188.0,7.0,72.0,Fulfilled,1.0,Toothpastes,
B00I6F50PQ,"Colgate Active Salt Toothpaste, Daily Germ Protection, Pack of 200g + 100g, Colgate Toothpaste with Salt and Mint, Healthy Gums & Teeth, Toothpaste that Fights Germs & Eliminates Bad Breath",Colgate,151.0,31.0,3183,4.4,NA,NA,151.0,151.0,30.0,64.0,Fulfilled,1.0,Toothpastes,
B01I6IQ02Y,"Colgate MaxFresh Toothpaste, Blue Gel Paste with Menthol for Super Fresh Breath, 300g, 150g X 2 (Peppermint Ice, Saver Pack)",Colgate,178.0,14.0,1583,4.4,NA,NA,178.0,178.0,12.0,80.0,Fulfilled,1.0,Toothpastes,
B09VKSDFM1,"Colgate Visible White Teeth Whitening Toothpaste, Protects Enamel, Removes Stains, With Whitening Accelerators, 165g",Colgate,162.0,114.0,,,NA,NA,246.0,162.0,112.0,33.0,Fulfilled,1.0,Toothpastes,
B09QRQQL51,"Colgate Visible White O2, Teeth Whitening Toothpaste, Aromatic Mint, 25g, Active Oxygen Technology, Enamel Safe Teeth Whitening Product",Colgate,104.0,27.0,357,3.5,NA,NA,130.0,104.0,35.0,68.0,Fulfilled,1.0,Toothpastes,
B00I6F64T2,"Colgate Visible White Teeth Whitening Toothpaste, Pack of 200g ​ (100g X 2), with Whitening Accelerators for Tobacco Stain Removal , Colgate Toothpaste with Minty Flavor for Everyday Fresh Breath",Colgate,207.0,10.0,3589,4.3,NA,NA,250.0,207.0,10.0,67.0,Fulfilled,1.0,Toothpastes,
B07XC1SJD3,"Colgate Charcoal Clean Black Gel Toothpaste , Pack of 120g Deep Clean Colgate Toothpaste With Bamboo Charcoal & Wintergreen Mint For Plaque Removal, Deep Clean & Tingling Fresh Mouth Experience",Colgate,120.0,50.0,2269,4.3,NA,NA,120.0,120.0,51.0,45.0,Fulfilled,1.0,Toothpastes,
B09PNV9C37,"Colgate Active Salt Toothpaste, Daily Germ Protection, Pack of 800g (Buy 3 Get 1 Free), Colgate Toothpaste with Salt and Mint, Healthy Gums & Teeth, Toothpaste that Fights Germs & Eliminates Bad Breath",Colgate,300.0,30.0,494,4.4,NA,NA,345.0,300.0,29.0,64.0,Fulfilled,1.0,Toothpastes,
B082LDRTD1,"Colgate Strong Teeth Cavity Protection Toothpaste, Colgate Toothpaste with Calcium Boost, 500gm Saver Pack, India's No.1 Toothpaste",Colgate,209.0,2.0,22640,4.4,NA,NA,217.0,209.0,2.0,84.0,Fulfilled,1.0,Toothpastes,
B071D9RYQM,Colgate Total Advanced Health Cavity Protection Toothpaste - 120g,Colgate,120.0,39.0,854,4.5,NA,NA,154.0,120.0,36.0,56.0,Fulfilled,1.0,Toothpastes,
B0B2PVXWZS,Colgate Visible White O2 Teeth Whitening Toothpaste - Aromatic Mint 50g & Colgate Visible White O2 Toothbrush Ultra Soft - 2pcs,Colgate,400.0,45.0,867,3.8,NA,NA,500.0,400.0,43.0,50.0,Fulfilled,1.0,Toothpastes,
B0755J7HRX,"Colgate MaxFresh Anticavity Toothpaste Gel, Spicy Fresh - 300gm (Saver Pack)",Colgate,133.0,3.0,12825,4.5,NA,NA,164.0,133.0,3.0,81.0,Fulfilled,1.0,Toothpastes,
B082LD6Q8T,"Colgate Swarna Vedshakti Ayurvedic Cavity Protection, Bad Breath Treatment Toothpaste - 400gm",Colgate,167.0,17.0,2453,4.3,NA,NA,206.0,167.0,16.0,80.0,Fulfilled,1.0,Toothpastes,
B07QL37M78,"Colgate Sensitive Everyday Protection Toothpaste, Twin Pack Of 160g (80g X 2), Specifically Developed  For Sensitive Teeth & Healthy Gums, Colgate Toothpaste For Prevention Of Cavities & Plaque",Colgate,180.0,67.0,1816,4.3,NA,NA,180.0,180.0,65.0,42.0,Fulfilled,1.0,Toothpastes,
B01MQQFYCY,"Pepsodent Toothpaste - Complete, 140g Carton",Pepsodent,109.0,845.0,,,NA,NA,118.0,109.0,757.0,7.0,NA,1.0,Toothpastes,
B00AN66R1M,"Pepsodent Expert Protection Whitening Toothpaste, Germ Fighting Formula, Helps Teeth Whitening, Strengthen Gums, Fights Tooth Decay & Plaque, 150 g",Pepsodent,,192.0,360,4.5,NA,NA,,,155.0,23.0,NA,1.0,Toothpastes,
B00DRE33UU,"Pepsodent 2 in 1 Toothpaste Tooth Decay Prevention, Cavity Protection, Sensitivity Relief, Plaque Removal, 150 g",Pepsodent,93.0,91.0,996,4.4,NA,NA,97.0,93.0,81.0,34.0,NA,1.0,Toothpastes,
B07GYRWTDZ,"Pepsodent Germicheck 8 Actions, Whole Mouth Toothpaste Fights Teeth, Gum & Tongue Germs, Prevents Cavity, Helps Teeth Whitening & Oral Hygiene, 200 g",Pepsodent,85.0,61.0,727,4.5,NA,NA,90.0,85.0,55.0,42.0,NA,1.0,Toothpastes,
B00QWZPEIU,Pepsodent Germicheck Plus 2 in 1 Toothpaste (150g) (pack of 2),Pepsodent,169.0,697.0,23,4.0,NA,NA,194.0,169.0,578.0,8.0,NA,1.0,Toothpastes,
B00QX1MXAU,Pepsodent Germi Check Expert Protection Complete Toothpaste (140 g) Pack of 2,Pepsodent,228.0,844.0,10,4.9,NA,NA,228.0,228.0,759.0,7.0,NA,1.0,Toothpastes,
B01LADWHNS,"Pepsodent Toothpaste - Gum Care Complete, 2x140g Pack",Pepsodent,176.0,1233.0,1,1.0,NA,NA,176.0,176.0,1187.0,7.0,NA,1.0,Toothpastes,
B00U2DT1EQ,Pepsodent Expert Protection Whitening Toothpaste - 140 g,Pepsodent,102.6,106.0,160,4.2,NA,NA,114.0,102.6,,32.0,Fulfilled,1.0,Toothpastes,
B014FD91MU,"Pepsodent Toothpaste - Germicheck, 4 * 150 g Pack",Pepsodent,,1238.0,8,4.1,NA,NA,,,1253.0,7.0,NA,1.0,Toothpastes,
B00U2DW14I,Pepsodent Expert Protection Gum Care Toothpaste - 140 g (Pack of 2),Pepsodent,172.0,198.0,1505,4.4,NA,NA,196.0,172.0,163.0,24.0,NA,1.0,Toothpastes,
B00R1BOIJU,"Pepsodent Germicheck 8 Actions, Whole Mouth Cavity Protection Plaque Removal Toothpaste With Anti-Germ Formula, Clove And Neem Oil, 300 g Jumbo Save Pack",Pepsodent,116.1,9.0,2486,4.4,NA,NA,128.0,116.1,8.0,68.0,Fulfilled,1.0,Toothpastes,
B08DHMMJFS,"Pepsodent Germi Check Toothpaste - 200g (Pack of 2) With free 150g, Fresh Breath",Pepsodent,,700.0,226,4.4,NA,NA,,,726.0,8.0,NA,1.0,Toothpastes,
B010B6KWS2,"Pepsodent Germicheck 8 Actions, Whole Mouth Toothpaste With Anti-Germ Formula, Clove And Neem Oil, 200 g",Pepsodent,,551.0,104,4.2,NA,NA,,,562.0,10.0,NA,1.0,Toothpastes,
B010B6K59S,Pepsodent Germicheck Toothpaste (Buy 3 Get 1 Free) 4X150 gm,Pepsodent,270.0,868.0,9,4.4,NA,NA,270.0,270.0,779.0,7.0,NA,1.0,Toothpastes,
B00NOSVCC0,"Pepsodent Expert Protection Complete Toothpaste, 140g",Pepsodent,116.0,651.0,15,4.3,NA,NA,118.0,116.0,526.0,8.0,NA,1.0,Toothpastes,
B01NBABUUK,"Pepsodent Toothpaste - GumCare, 140g Carton",Pepsodent,93.0,799.0,1,4.0,NA,NA,94.0,93.0,700.0,7.0,NA,1.0,Toothpastes,
B011B8ZBNK,Pepsodent Germ Protection Clove & Salt Toothpaste 200 g,Pepsodent,65.0,225.0,73,4.4,NA,NA,94.0,65.0,232.0,21.0,Fulfilled,1.0,Toothpastes,
B0105Z61UW,"Pepsodent Gum Expert Tooth Brush - Soft, (2+1) Pieces Pack",Pepsodent,108.0,455.0,97,4.3,NA,NA,110.0,109.0,622.0,12.0,NA,1.0,Toothpastes,
B07G4CMNPQ,"Pepsodent Germicheck 8 Actions, Whole Mouth Toothpaste Fights Teeth, Gum & Tongue Germs, Prevents Cavity, Promotes Oral Hygiene, 600 g (150g x 4)",Pepsodent,260.0,262.0,1903,4.4,NA,NA,312.0,260.0,241.0,20.0,NA,1.0,Toothpastes,
B07JN8GJ1D,"Pepsodent Gum Care+ Toothpaste 140 g (Pack of 3), Anti Cavity Tooth Paste Improves Gum Health, Removes Plaque & Bad Breath for Oral Hygiene",Pepsodent,280.0,229.0,2441,4.4,NA,NA,294.0,280.0,257.0,22.0,NA,1.0,Toothpastes,
B079H16264,"Colgate Active Salt Toothpaste, Germ Fighting Toothpaste for Healthy Gums and Teeth, 500gm (200g X 2 and 100g X 1)",Colgate,245.0,99.0,127,4.3,NA,NA,275.0,245.0,98.0,32.0,NA,1.0,Toothpastes,
B09QRL1M8Y,"Colgate Visible White O2, Teeth Whitening Toothpaste, Peppermint Sparkle, 25g, Active Oxygen Technology, Enamel Safe Teeth Whitening Product",Colgate,104.0,43.0,172,3.2,NA,NA,130.0,104.0,37.0,53.0,Fulfilled,1.0,Toothpastes,
B012RIL1M8,"Colgate Active Salt Neem Toothpaste, Germ Fighting Toothpaste For Healthy, Tight Gums, Oral Care 200G",Colgate,100.0,78.0,199,4.2,NA,NA,100.0,100.0,73.0,37.0,Fulfilled,1.0,Toothpastes,
B0895C4PZS,"Pepsodent Expert Protection Complete 3 in 1 Toothpaste with Benefits of Mouthwash, Floss & Toothpaste, Protects Teeth with Zinc, 420 g (140g x 3)",Pepsodent,,675.0,8,3.4,NA,NA,,,473.0,8.0,NA,1.0,Toothpastes,
B09HQS6FNG,"Colgate Sensitive Plus Toothpaste, With Pro Argin Formula for Sensitivity Relief, 70gm (Buy 1 Get 1 Free)",Colgate,137.0,151.0,51,4.3,NA,NA,180.0,150.0,184.0,24.0,Fulfilled,1.0,Toothpastes,
B07JFW4CY4,"Colgate MaxFresh Breath Freshener Toothpaste, 600g (150g x 4), Peppermint Ice, Blue Gel Paste with Menthol, Cooling crystals for bad breath control",Colgate,286.0,6.0,10319,4.4,NA,NA,396.0,286.0,5.0,74.0,Fulfilled,1.0,Toothpastes,
B07JXLZQKJ,Pepsodent 2 in 1 Cavity Protection - 150 g (Pack of 3),Pepsodent,260.0,561.0,377,4.3,NA,NA,282.0,260.0,528.0,10.0,NA,1.0,Toothpastes,
