ASIN,Sentiment Score
B08W8JX2R2,4.428571428571429
B084TH4783,2.642857142857143
B08HRX87FJ,2.2
B079QY27NK,1.0
B084TGSM2N,5.0
B0999S3MD4,3.3087248322147653
B079QP11T3,4.142857142857143
B08523BC7W,5.0
B06XG9N37B,2.0
B084PPZXBX,3.5384615384615383
B07612F52G,1.0
B084S8LB1D,3.5
B08X14KW3R,2.111111111111111
B09SPZRH84,3.0
B08W8TJ3FM,2.0
B07W7B94GZ,3.0
B084Y86B9Z,2.4285714285714284
B079QNTQ84,3.3043478260869565
B07NBZ43PH,2.8
B08W9BRBMP,5.0
B083JNGPHH,2.130434782608696
B088QGY2G5,3.625
B091Q3T3KQ,3.0833333333333335
B084XMM69M,2.5
B083JN87RJ,2.027027027027027
B08CS3FKFY,2.9565217391304346
B08CS2BTX4,2.5
B083JNJRS5,2.5714285714285716
B0892Q3WBW,1.0
B083KVTQ6Z,3.0
B083KSSS1H,2.4166666666666665
B078YJ5SW8,1.5454545454545454
B07NBZSVCL,2.4375
B09PMPK18J,2.625
B078YHT1FR,2.6153846153846154
B083RPPSQF,2.625
B083KVZQ7Z,2.736842105263158
B09PMTDDLR,2.625
B08R4YV223,3.75
B09PMTJPPQ,4.0
B078YJXPCF,2.0
B091Q56ZR8,2.8
B083KRV6DK,2.0
B086H3NR1F,3.033333333333333
B078YL5K8D,2.0
B098Q5FF7G,4.0
B0982Y9C1C,3.4482758620689653
B091TZ4TNZ,2.5
B08SBSL8Y2,3.492063492063492
B07G5YV3LC,3.5833333333333335
B003297I1U,4.166666666666667
B08448TTJM,3.0
B07R9NJMGB,2.161290322580645
B08VSB3V64,2.0
B08X72GY5Q,3.3087248322147653
B08VRCMQ76,3.25
B091TZLL6D,3.0
B084499HPN,1.625
B00K4AG0DW,4.176470588235294
B08SC9GVVR,3.0
B08446154L,3.6923076923076925
B08SBN4PG4,4.0
B0834624G1,3.1904761904761907
B084ZX7XS4,3.909090909090909
B08RZ1FLSD,4.0
B08RZ23BT2,2.857142857142857
B08345R1ZN,3.3333333333333335
B08SC3SN2R,3.8333333333333335
B08346545V,3.3529411764705883
B08RZ2JKK5,3.0833333333333335
B08346HPXM,3.0
B08SC2ZTDP,3.4130434782608696
B08445QGNJ,4.0
B08SM5GCD8,4.04
B08SC26TC4,2.4761904761904763
B08445PP98,3.272727272727273
B08346C9R3,3.6666666666666665
B08346JDBY,3.08
B08SBFB2CH,1.8
B08345R1ZW,2.8636363636363638
B08345Q835,3.1025641025641026
B083JNJZ9Y,1.9
B07R9NJCVZ,3.2142857142857144
B07R9NK33K,1.1428571428571428
B07R9NJFYF,1.7692307692307692
B083JPFHNP,3.3333333333333335
B0868WJXFL,3.5
B09H37BN1P,2.2
B088PG3L6S,4.0
B08LF1Z4S2,3.35
B091TZRL28,1.0
B08VRZV63K,1.625
B08VRPLLF3,2.0
B08448V646,2.3333333333333335
B08448TTJH,2.75
B088PGZ7SS,1.0
B09BK34W53,1.0
B088PDZG4L,5.0
B084499BQ1,5.0
B09SPZMNHK,4.0
B09ZYKRQLP,3.0
